chr_rna_RCH	start_rna_RCH	end_rna_RCH	gene_name__RCH	score	str_RCH	gene_type_RCH	gene_name_not_uniq_RCH	from_RCH	id_RCH	chr_rna	start_rna	end_rna	gene_name	lala	str	gene_id	overlap	merge_len	overlap/merge_len	len_RCH	len
chr1	89295	133723	AL627309.1	100	-	lncRNA	AL627309.1	gencode	12	chr1	89294	133723	AL627309.1	100	-	ENSG00000238009.6	44428	44429	0.999977492178532	44429	44430
chr1	89551	91105	AL627309.3	100	-	lncRNA	AL627309.3	gencode	13	chr1	89550	91105	AL627309.3	100	-	ENSG00000239945.1	1554	1555	0.9993569131832798	1555	1556
chr1	139790	140339	AL627309.2	100	-	lncRNA	AL627309.2	gencode	21	chr1	139789	140339	AL627309.2	100	-	ENSG00000239906.1	549	550	0.9981818181818182	550	551
chr1	778747	810065	LINC01409	100	+	lncRNA	LINC01409	gencode	63	chr1	778746	810065	AL669831.5	100	+	ENSG00000237491.10	31318	31319	0.9999680705003352	31319	31320
chr1	817371	819837	FAM87B	100	+	lncRNA	FAM87B	gencode	66	chr1	817370	819837	FAM87B	100	+	ENSG00000177757.2	2466	2467	0.9995946493717065	2467	2468
chr1	826206	827522	LINC00115	100	-	lncRNA	LINC00115	gencode	69	chr1	826205	827522	LINC00115	100	-	ENSG00000225880.5	1316	1317	0.9992406985573272	1317	1318
chr1	868071	876903	FAM41C	100	-	lncRNA	FAM41C	gencode	73	chr1	868070	876903	FAM41C	100	-	ENSG00000230368.2	8832	8833	0.9998867881806861	8833	8834
chr1	911435	914948	AL645608.2	100	+	lncRNA	AL645608.2	gencode	84	chr1	911434	914948	AL645608.2	100	+	ENSG00000230699.2	3513	3514	0.9997154240182129	3514	3515
chr1	916865	921016	LINC02593	100	-	lncRNA	LINC02593	gencode	88	chr1	916864	921016	LINC02593	100	-	ENSG00000223764.2	4151	4152	0.9997591522157996	4152	4153
chr1	995966	998051	AL645608.7	100	-	lncRNA	AL645608.7	gencode	119	chr1	995965	998051	AL645608.7	100	-	ENSG00000272512.1	2085	2086	0.9995206136145733	2086	2087
chr1	1169357	1170343	AL390719.2	100	+	lncRNA	AL390719.2	gencode	191	chr1	1169356	1170343	AL390719.2	100	+	ENSG00000272141.1	986	987	0.9989868287740629	987	988
chr1	1249777	1251334	AL162741.1	100	-	lncRNA	AL162741.1	gencode	219	chr1	1249776	1251334	AL162741.1	100	-	ENSG00000260179.1	1557	1558	0.9993581514762516	1558	1559
chr1	1275223	1280420	LINC01786	100	+	lncRNA	LINC01786	gencode	228	chr1	1275222	1280420	LINC01786	100	+	ENSG00000230415.1	5197	5198	0.9998076183147364	5198	5199
chr1	1317581	1318689	AL139287.1	100	-	lncRNA	AL139287.1	gencode	247	chr1	1317580	1318689	AL139287.1	100	-	ENSG00000240731.1	1108	1109	0.9990982867448152	1109	1110
chr1	1399520	1402046	MRPL20-AS1	100	+	lncRNA	MRPL20-AS1	gencode	281	chr1	1399519	1402046	MRPL20-AS1	100	+	ENSG00000224870.7	2526	2527	0.999604273842501	2527	2528
chr1	1409096	1410618	MRPL20-DT	100	+	lncRNA	MRPL20-DT	gencode	289	chr1	1409095	1410618	AL391244.2	100	+	ENSG00000272455.1	1522	1523	0.9993434011818779	1523	1524
chr1	1430539	1434573	LINC01770	100	-	lncRNA	LINC01770	gencode	297	chr1	1430538	1434573	LINC01770	100	-	ENSG00000225285.1	4034	4035	0.9997521685254027	4035	4036
chr1	1574102	1577075	AL645728.1	100	+	lncRNA	AL645728.1	gencode	335	chr1	1574101	1577075	AL645728.1	100	+	ENSG00000215014.5	2973	2974	0.9996637525218561	2974	2975
chr1	1613758	1615795	AL691432.2	100	-	lncRNA	AL691432.2	gencode	346	chr1	1613757	1615795	AL691432.2	100	-	ENSG00000272106.1	2037	2038	0.9995093228655545	2038	2039
chr1	1702736	1737688	AL031282.2	100	-	lncRNA	AL031282.2	gencode	370	chr1	1702735	1737688	AL031282.2	100	-	ENSG00000268575.1	34952	34953	0.9999713901524905	34953	34954
chr1	2181794	2184389	PRKCZ-AS1	100	-	lncRNA	PRKCZ-AS1	gencode	456	chr1	2181793	2184389	PRKCZ-AS1	100	-	ENSG00000182873.5	2595	2596	0.9996147919876733	2596	2597
chr1	2530064	2547460	AL139246.5	100	+	lncRNA	AL139246.5	gencode	566	chr1	2530063	2547460	AL139246.5	100	+	ENSG00000272449.2	17396	17397	0.9999425188250848	17397	17398
chr1	2549920	2557031	TNFRSF14-AS1	100	-	lncRNA	TNFRSF14-AS1	gencode	575	chr1	2549919	2557031	TNFRSF14-AS1	100	-	ENSG00000238164.6	7111	7112	0.999859392575928	7112	7113
chr1	3059615	3068437	PRDM16-DT	100	-	lncRNA	PRDM16-DT	gencode	657	chr1	3059614	3068437	PRDM16-DT	100	-	ENSG00000177133.11	8822	8823	0.9998866598662587	8823	8824
chr1	3205988	3208664	AL512383.1	100	+	TEC	AL512383.1	gencode	683	chr1	3205987	3208664	AL512383.1	100	+	ENSG00000279839.1	2676	2677	0.9996264475158759	2677	2678
