"_id","_labels","chrom","encode_id","end","ensembl_id","name","start","_start","_end","_type","corr","expression","signal"
"0",":H3K27ac:Merged:Peak","chr1","","10585","","peak_0","10057",,,,,,
"1",":H3K27ac:Merged:Peak","chr1","","137033","","peak_1","136731",,,,,,
"2",":H3K27ac:Merged:Peak","chr1","","181070","","peak_2","180721",,,,,,
"3",":H3K27ac:Merged:Peak","chr1","","181565","","peak_3","181433",,,,,,
"4",":H3K27ac:Merged:Peak","chr1","","184657","","peak_4","184240",,,,,,
"5",":H3K27ac:Merged:Peak","chr1","","191216","","peak_5","190720",,,,,,
"6",":H3K27ac:Merged:Peak","chr1","","191732","","peak_6","191254",,,,,,
"7",":H3K27ac:Merged:Peak","chr1","","202433","","peak_7","202059",,,,,,
"8",":H3K27ac:Merged:Peak","chr1","","777404","","peak_8","777146",,,,,,
"9",":H3K27ac:Merged:Peak","chr1","","780257","","peak_9","777506",,,,,,
"10",":H3K27ac:Merged:Peak","chr1","","788835","","peak_10","788598",,,,,,
"11",":H3K27ac:Merged:Peak","chr1","","790037","","peak_11","789776",,,,,,
"12",":H3K27ac:Merged:Peak","chr1","","795092","","peak_12","794514",,,,,,
"13",":H3K27ac:Merged:Peak","chr1","","805031","","peak_13","804696",,,,,,
"14",":H3K27ac:Merged:Peak","chr1","","816502","","peak_14","815955",,,,,,
"15",":H3K27ac:Merged:Peak","chr1","","817616","","peak_15","816706",,,,,,
"16",":H3K27ac:Merged:Peak","chr1","","823710","","peak_16","817742",,,,,,
"17",":H3K27ac:Merged:Peak","chr1","","827807","","peak_17","825475",,,,,,
"18",":H3K27ac:Merged:Peak","chr1","","828600","","peak_18","828085",,,,,,
"19",":H3K27ac:Merged:Peak","chr1","","833120","","peak_19","828759",,,,,,
"20",":H3K27ac:Merged:Peak","chr1","","834236","","peak_20","833195",,,,,,
"21",":H3K27ac:Merged:Peak","chr1","","834470","","peak_21","834290",,,,,,
"22",":H3K27ac:Merged:Peak","chr1","","835726","","peak_22","834537",,,,,,
"23",":H3K27ac:Merged:Peak","chr1","","837304","","peak_23","836083",,,,,,
"24",":H3K27ac:Merged:Peak","chr1","","838692","","peak_24","838129",,,,,,
"25",":H3K27ac:Merged:Peak","chr1","","841501","","peak_25","841175",,,,,,
"26",":H3K27ac:Merged:Peak","chr1","","843617","","peak_26","843361",,,,,,
"27",":H3K27ac:Merged:Peak","chr1","","845053","","peak_27","843907",,,,,,
"28",":H3K27ac:Merged:Peak","chr1","","845987","","peak_28","845266",,,,,,
"29",":H3K27ac:Merged:Peak","chr1","","852337","","peak_29","851786",,,,,,
"30",":H3K27ac:Merged:Peak","chr1","","856845","","peak_30","856591",,,,,,
"31",":H3K27ac:Merged:Peak","chr1","","859249","","peak_31","858116",,,,,,
"32",":H3K27ac:Merged:Peak","chr1","","866655","","peak_32","865118",,,,,,
"33",":H3K27ac:Merged:Peak","chr1","","868034","","peak_33","867751",,,,,,
"34",":H3K27ac:Merged:Peak","chr1","","870237","","peak_34","869887",,,,,,
"35",":H3K27ac:Merged:Peak","chr1","","875168","","peak_35","874928",,,,,,
"36",":H3K27ac:Merged:Peak","chr1","","877242","","peak_36","876434",,,,,,
"37",":H3K27ac:Merged:Peak","chr1","","879911","","peak_37","879468",,,,,,
"38",":H3K27ac:Merged:Peak","chr1","","884448","","peak_38","880060",,,,,,
"39",":H3K27ac:Merged:Peak","chr1","","884969","","peak_39","884555",,,,,,
"40",":H3K27ac:Merged:Peak","chr1","","885582","","peak_40","885195",,,,,,
"41",":H3K27ac:Merged:Peak","chr1","","886178","","peak_41","885784",,,,,,
"42",":H3K27ac:Merged:Peak","chr1","","887145","","peak_42","886338",,,,,,
"43",":H3K27ac:Merged:Peak","chr1","","898099","","peak_43","897876",,,,,,
"44",":H3K27ac:Merged:Peak","chr1","","899015","","peak_44","898787",,,,,,
"45",":H3K27ac:Merged:Peak","chr1","","907477","","peak_45","904076",,,,,,
"46",":H3K27ac:Merged:Peak","chr1","","907966","","peak_46","907642",,,,,,
"47",":H3K27ac:Merged:Peak","chr1","","908506","","peak_47","908016",,,,,,
"48",":H3K27ac:Merged:Peak","chr1","","911350","","peak_48","909704",,,,,,
"49",":H3K27ac:Merged:Peak","chr1","","911910","","peak_49","911375",,,,,,
"50",":H3K27ac:Merged:Peak","chr1","","912328","","peak_50","911919",,,,,,
"51",":H3K27ac:Merged:Peak","chr1","","912671","","peak_51","912355",,,,,,
"52",":H3K27ac:Merged:Peak","chr1","","913403","","peak_52","913063",,,,,,
"53",":H3K27ac:Merged:Peak","chr1","","913745","","peak_53","913596",,,,,,
"54",":H3K27ac:Merged:Peak","chr1","","916832","","peak_54","915974",,,,,,
"55",":H3K27ac:Merged:Peak","chr1","","917446","","peak_55","916905",,,,,,
"56",":H3K27ac:Merged:Peak","chr1","","918134","","peak_56","917908",,,,,,
"57",":H3K27ac:Merged:Peak","chr1","","918593","","peak_57","918461",,,,,,
"58",":H3K27ac:Merged:Peak","chr1","","921887","","peak_58","920018",,,,,,
"59",":H3K27ac:Merged:Peak","chr1","","926288","","peak_59","921925",,,,,,
"60",":H3K27ac:Merged:Peak","chr1","","926765","","peak_60","926525",,,,,,
"61",":H3K27ac:Merged:Peak","chr1","","927273","","peak_61","927126",,,,,,
"62",":H3K27ac:Merged:Peak","chr1","","928063","","peak_62","927654",,,,,,
"63",":H3K27ac:Merged:Peak","chr1","","929080","","peak_63","928948",,,,,,
"64",":H3K27ac:Merged:Peak","chr1","","929544","","peak_64","929395",,,,,,
"65",":H3K27ac:Merged:Peak","chr1","","929870","","peak_65","929674",,,,,,
"66",":H3K27ac:Merged:Peak","chr1","","931438","","peak_66","930382",,,,,,
"67",":H3K27ac:Merged:Peak","chr1","","933968","","peak_67","931596",,,,,,
"68",":H3K27ac:Merged:Peak","chr1","","946397","","peak_68","935156",,,,,,
"69",":H3K27ac:Merged:Peak","chr1","","946667","","peak_69","946510",,,,,,
"70",":H3K27ac:Merged:Peak","chr1","","949757","","peak_70","949519",,,,,,
"71",":H3K27ac:Merged:Peak","chr1","","952525","","peak_71","952376",,,,,,
"72",":H3K27ac:Merged:Peak","chr1","","954508","","peak_72","954328",,,,,,
"73",":H3K27ac:Merged:Peak","chr1","","957134","","peak_73","956889",,,,,,
"74",":H3K27ac:Merged:Peak","chr1","","957934","","peak_74","957697",,,,,,
"75",":H3K27ac:Merged:Peak","chr1","","961672","","peak_75","958352",,,,,,
"76",":H3K27ac:Merged:Peak","chr1","","965104","","peak_76","964844",,,,,,
"77",":H3K27ac:Merged:Peak","chr1","","969037","","peak_77","965442",,,,,,
"78",":H3K27ac:Merged:Peak","chr1","","969788","","peak_78","969468",,,,,,
"79",":H3K27ac:Merged:Peak","chr1","","977042","","peak_79","970775",,,,,,
"80",":H3K27ac:Merged:Peak","chr1","","984583","","peak_80","977689",,,,,,
"81",":H3K27ac:Merged:Peak","chr1","","989875","","peak_81","989660",,,,,,
"82",":H3K27ac:Merged:Peak","chr1","","993011","","peak_82","992386",,,,,,
"83",":H3K27ac:Merged:Peak","chr1","","1002470","","peak_83","996854",,,,,,
"84",":H3K27ac:Merged:Peak","chr1","","1007563","","peak_84","1002564",,,,,,
"85",":H3K27ac:Merged:Peak","chr1","","1009310","","peak_85","1009019",,,,,,
"86",":H3K27ac:Merged:Peak","chr1","","1011567","","peak_86","1011281",,,,,,
"87",":H3K27ac:Merged:Peak","chr1","","1015806","","peak_87","1012278",,,,,,
"88",":H3K27ac:Merged:Peak","chr1","","1017647","","peak_88","1017022",,,,,,
"89",":H3K27ac:Merged:Peak","chr1","","1018581","","peak_89","1018112",,,,,,
"90",":H3K27ac:Merged:Peak","chr1","","1027565","","peak_90","1018850",,,,,,
"91",":H3K27ac:Merged:Peak","chr1","","1028199","","peak_91","1028000",,,,,,
"92",":H3K27ac:Merged:Peak","chr1","","1029558","","peak_92","1029409",,,,,,
"93",":H3K27ac:Merged:Peak","chr1","","1034782","","peak_93","1031137",,,,,,
"94",":H3K27ac:Merged:Peak","chr1","","1035644","","peak_94","1035235",,,,,,
"95",":H3K27ac:Merged:Peak","chr1","","1036288","","peak_95","1035803",,,,,,
"96",":H3K27ac:Merged:Peak","chr1","","1038807","","peak_96","1038416",,,,,,
"97",":H3K27ac:Merged:Peak","chr1","","1039901","","peak_97","1039520",,,,,,
"98",":H3K27ac:Merged:Peak","chr1","","1041737","","peak_98","1039928",,,,,,
"99",":H3K27ac:Merged:Peak","chr1","","1043358","","peak_99","1043079",,,,,,
"100",":H3K27ac:Merged:Peak","chr1","","1044458","","peak_100","1044263",,,,,,
"101",":H3K27ac:Merged:Peak","chr1","","1047182","","peak_101","1046889",,,,,,
"102",":H3K27ac:Merged:Peak","chr1","","1052626","","peak_102","1052427",,,,,,
"103",":H3K27ac:Merged:Peak","chr1","","1054175","","peak_103","1054043",,,,,,
"104",":H3K27ac:Merged:Peak","chr1","","1060108","","peak_104","1058095",,,,,,
"105",":H3K27ac:Merged:Peak","chr1","","1060598","","peak_105","1060276",,,,,,
"106",":H3K27ac:Merged:Peak","chr1","","1064859","","peak_106","1062188",,,,,,
"107",":H3K27ac:Merged:Peak","chr1","","1065908","","peak_107","1065709",,,,,,
"108",":H3K27ac:Merged:Peak","chr1","","1066165","","peak_108","1065942",,,,,,
"109",":H3K27ac:Merged:Peak","chr1","","1075755","","peak_109","1066358",,,,,,
"110",":H3K27ac:Merged:Peak","chr1","","1080735","","peak_110","1079179",,,,,,
"111",":H3K27ac:Merged:Peak","chr1","","1081456","","peak_111","1080924",,,,,,
"112",":H3K27ac:Merged:Peak","chr1","","1082196","","peak_112","1081585",,,,,,
"113",":H3K27ac:Merged:Peak","chr1","","1082520","","peak_113","1082388",,,,,,
"114",":H3K27ac:Merged:Peak","chr1","","1083085","","peak_114","1082788",,,,,,
"115",":H3K27ac:Merged:Peak","chr1","","1086500","","peak_115","1086104",,,,,,
"116",":H3K27ac:Merged:Peak","chr1","","1086723","","peak_116","1086591",,,,,,
"117",":H3K27ac:Merged:Peak","chr1","","1087487","","peak_117","1087224",,,,,,
"118",":H3K27ac:Merged:Peak","chr1","","1088858","","peak_118","1088529",,,,,,
"119",":H3K27ac:Merged:Peak","chr1","","1093356","","peak_119","1093044",,,,,,
"120",":H3K27ac:Merged:Peak","chr1","","1095146","","peak_120","1094849",,,,,,
"121",":H3K27ac:Merged:Peak","chr1","","1103989","","peak_121","1103731",,,,,,
"122",":H3K27ac:Merged:Peak","chr1","","1105441","","peak_122","1105003",,,,,,
"123",":H3K27ac:Merged:Peak","chr1","","1111046","","peak_123","1109168",,,,,,
"124",":H3K27ac:Merged:Peak","chr1","","1114974","","peak_124","1114654",,,,,,
"125",":H3K27ac:Merged:Peak","chr1","","1117165","","peak_125","1115114",,,,,,
"126",":H3K27ac:Merged:Peak","chr1","","1118265","","peak_126","1118027",,,,,,
"127",":H3K27ac:Merged:Peak","chr1","","1118647","","peak_127","1118434",,,,,,
"128",":H3K27ac:Merged:Peak","chr1","","1119854","","peak_128","1118921",,,,,,
"129",":H3K27ac:Merged:Peak","chr1","","1120105","","peak_129","1119906",,,,,,
"130",":H3K27ac:Merged:Peak","chr1","","1123892","","peak_130","1121752",,,,,,
"131",":H3K27ac:Merged:Peak","chr1","","1138392","","peak_131","1123958",,,,,,
"132",":H3K27ac:Merged:Peak","chr1","","1139036","","peak_132","1138548",,,,,,
"133",":H3K27ac:Merged:Peak","chr1","","1141086","","peak_133","1140619",,,,,,
"134",":H3K27ac:Merged:Peak","chr1","","1142384","","peak_134","1141549",,,,,,
"135",":H3K27ac:Merged:Peak","chr1","","1146060","","peak_135","1142420",,,,,,
"136",":H3K27ac:Merged:Peak","chr1","","1146448","","peak_136","1146188",,,,,,
"137",":H3K27ac:Merged:Peak","chr1","","1147038","","peak_137","1146747",,,,,,
